Transaction_ID,User_ID,Transaction_Amount,Transaction_Type,Device_Type,Location,Balance_Before,Balance_After,Transaction_Time
T00048,U696,₹2969,Transfer,,Bangalore,1750,,04:06
T00049,U842,598062,Card,,Chennai,,,23:29
T00050,U484,,Debit Card,Tablet,Chennai,15051,,16:49
T00051,U395,₹1457,Credit Card,Tablet,Delhi,,,08:30
T00052,U460,1571,Card,,,,,25:61
T00053,U562,₹3289,Credit Card,Tablet,Bangalore,16809,,25:61
T00054,U185,3136,UPI,Laptop,Delhi,,,25:61
T00055,U310,,Transfer,,Delhi,,,25:61
T00056,U137,997540,Transfer,Laptop,Mumbai,10130,-987410,25:61
T00057,U238,4690,Card,Mobile,Chennai,,,25:61
T00058,U615,abc,Card,Tablet,Chennai,,14830,04:52
T00059,U937,₹3984,Card,Tablet,Delhi,,4566,25:61
T00060,U568,abc,Card,,Chennai,2547,,25:61
T00061,U901,124104,Credit Card,Laptop,Bangalore,,6058,13:05
T00062,U914,₹843,Credit Card,Mobile,Bangalore,8415,,12:45
T00063,U722,,UPI,Mobile,Chennai,,14302,25:61
T00064,U503,4377,Card,Laptop,,,,25:61
T00065,U463,898574,Card,,Chennai,,10053,21:08
T00066,U468,,Credit Card,Desktop,Kolkata,,8443,12:13
T00067,U562,abc,Transfer,Desktop,,8424,,25:61
T00068,U520,199310,Transfer,Mobile,Delhi,,,08:19
T00069,U462,390663,Card,Desktop,Chennai,,,23:58
T00070,U123,,Debit Card,,Chennai,18471,,25:61
T00071,U108,277408,Card,Tablet,Bangalore,,13158,25:61
T00072,U685,₹2210,UPI,Tablet,Delhi,,,25:61
T00073,U621,3495,Transfer,Mobile,,,,25:61
T00074,U587,338907,Credit Card,Desktop,Chennai,,17284,25:61
T00075,U281,406,Card,Laptop,,9704,9298,25:61
T00076,U917,,Debit Card,Desktop,Bangalore,5071,,25:61
T00077,U591,1230,Transfer,,Mumbai,,,20:40
T00078,U207,3269,Credit Card,Mobile,Mumbai,,,16:56
T00079,U399,880256,Card,Tablet,Chennai,8702,-871554,23:10
T00080,U408,3814,Transfer,Tablet,,,,25:61
T00081,U603,904278,UPI,Tablet,Bangalore,,,22:32
T00082,U154,680,Credit Card,Tablet,Mumbai,,,25:61
T00083,U753,,UPI,Laptop,Kolkata,6401,,19:32
T00084,U755,3720,UPI,,Chennai,,-3420,25:61
T00085,U283,₹4544,Transfer,Desktop,Mumbai,3728,643,03:11
T00086,U213,,UPI,,Delhi,,,23:50
T00087,U914,₹3428,Card,Tablet,Chennai,,,04:09
T00088,U456,1964,UPI,,Delhi,,,25:61
T00089,U388,₹572,UPI,Desktop,Delhi,4348,,07:32
T00090,U296,abc,Card,,Chennai,6447,11472,25:61
T00091,U384,₹1139,Credit Card,Tablet,Kolkata,4149,-3759,25:61
T00092,U568,841762,Transfer,Tablet,Delhi,,18224,17:04
T00093,U269,abc,UPI,Tablet,Mumbai,,,25:61
T00094,U645,abc,Credit Card,Mobile,Chennai,18582,1646,11:14
T00095,U614,,UPI,Desktop,Mumbai,,,00:31
T00096,U414,276442,Debit Card,Laptop,Kolkata,5020,-271422,08:26
T00097,U788,4029,Card,Mobile,Mumbai,,6593,02:55
T00098,U774,abc,Transfer,Laptop,Delhi,,,08:42
T00099,U329,₹1788,Transfer,,Bangalore,,4384,04:13
T00100,U688,₹2006,Transfer,Mobile,Delhi,1574,,12:07
T00101,U392,41549,Transfer,Mobile,,,1335,17:50
T00102,U958,abc,UPI,Tablet,Chennai,15235,,25:61
T00103,U851,₹1367,Debit Card,Tablet,Mumbai,,6091,08:18
T00104,U748,,Transfer,Mobile,Mumbai,,1956,08:13
T00105,U544,,Transfer,Desktop,,,,25:61
T00106,U774,,UPI,Desktop,,1410,,25:61
T00107,U426,₹544,Transfer,Laptop,Bangalore,,2426,25:61
T00108,U808,,Transfer,,Mumbai,,,25:61
T00109,U274,₹2189,UPI,Desktop,Chennai,,12282,25:61
T00110,U110,₹1009,Credit Card,Mobile,,,617,15:03
T00111,U534,₹429,Card,Desktop,Chennai,6468,-3757,25:61
T00112,U991,,Credit Card,,,12065,-4012,01:42
T00113,U738,1166,Card,Laptop,Bangalore,,12463,25:61
T00114,U283,₹4730,UPI,Desktop,Chennai,4769,,06:30
T00115,U669,₹3357,UPI,,Kolkata,,13067,19:59
T00116,U983,475877,UPI,Desktop,Delhi,,,11:56
T00117,U589,2879,Card,Tablet,Bangalore,,,25:61
T00118,U977,272,Debit Card,Desktop,Bangalore,8190,7918,00:22
T00119,U347,abc,Credit Card,Laptop,,,-4609,02:27
T00120,U785,,Transfer,,Bangalore,,,02:28
T00121,U903,4864,UPI,Laptop,Mumbai,,,25:61
T00122,U174,₹2632,Transfer,,Bangalore,18167,-1030,18:48
T00123,U432,₹4625,Credit Card,,,,1578,15:41
T00124,U205,,Transfer,Laptop,,6208,3011,25:61
T00125,U512,,Card,,,,,13:08
T00126,U958,202096,UPI,Laptop,Delhi,,4026,25:61
T00127,U494,2218,Debit Card,Desktop,,,,22:48
T00128,U878,₹4671,Credit Card,Desktop,Kolkata,4677,,12:40
T00129,U243,577829,Credit Card,Laptop,,,,25:61
T00130,U180,abc,UPI,Tablet,Bangalore,,-979,07:04
T00131,U774,abc,UPI,Desktop,Mumbai,16756,-3866,18:05
T00132,U216,,Transfer,Tablet,Mumbai,,,25:61
T00133,U771,₹3535,Transfer,,,,5120,25:61
T00134,U139,53727,Card,Desktop,,6122,-47605,25:61
T00135,U530,2211,Card,Mobile,Bangalore,,,20:28
T00136,U117,154728,Transfer,Mobile,,,,04:39
T00137,U182,,Card,Desktop,Mumbai,,,13:52
T00138,U958,abc,Card,Mobile,Kolkata,17241,5567,25:61
T00139,U181,,UPI,Desktop,Delhi,,,06:17
T00140,U443,28,Transfer,Laptop,Bangalore,,,25:61
T00141,U274,abc,Card,Laptop,,,,06:04
T00142,U511,₹220,Credit Card,,Bangalore,,,25:61
T00143,U359,₹2085,Card,,Kolkata,4843,-85,22:17
T00144,U251,₹4772,UPI,Laptop,Kolkata,,11551,17:49
T00145,U370,3767,Debit Card,,,,19897,11:31
T00146,U878,161366,Credit Card,Mobile,Chennai,,3663,23:52
T00147,U597,1093,UPI,Tablet,Bangalore,,,10:29
T00148,U273,206923,Transfer,Tablet,,11302,-195621,25:61
T00149,U171,474882,Debit Card,,,10583,-464299,01:19
T00150,U900,abc,Transfer,Laptop,Kolkata,,,25:61
T00151,U548,₹3498,UPI,Laptop,Chennai,,,25:61
T00152,U730,abc,Credit Card,,Mumbai,,18293,25:61
T00153,U516,₹4464,Card,Tablet,Delhi,1442,,25:61
T00154,U903,,Debit Card,Laptop,Bangalore,18113,,25:61
T00155,U465,₹3982,Debit Card,,Chennai,,,25:61
T00156,U347,4628,Debit Card,Mobile,Delhi,4808,180,05:11
T00157,U164,abc,Transfer,Desktop,Chennai,,5290,25:61
T00158,U735,,Card,,Bangalore,6033,,25:61
T00159,U944,,Credit Card,Tablet,Bangalore,6730,,23:32
T00160,U300,abc,Debit Card,,Chennai,,,25:61
T00161,U312,3623,Transfer,Tablet,Mumbai,5176,1553,25:61
T00162,U336,530013,Card,Mobile,Mumbai,,-41,25:61
T00163,U196,3199,Debit Card,Desktop,Kolkata,17894,14695,13:33
T00164,U385,624783,UPI,Tablet,,6214,-618569,25:61
T00165,U597,,Card,Mobile,,,,00:48
T00166,U125,520717,Credit Card,Desktop,Kolkata,,9961,25:61
T00167,U269,2142,Debit Card,Tablet,Kolkata,,,16:06
T00168,U812,,Transfer,Tablet,Bangalore,13384,,12:31
T00169,U311,1000,Transfer,Desktop,Kolkata,,,16:39
T00170,U482,,Transfer,Laptop,Chennai,18931,11663,17:27
T00171,U638,693343,Transfer,Desktop,Chennai,7257,-686086,04:36
T00172,U213,₹2335,Credit Card,Tablet,Kolkata,4675,,03:01
T00173,U382,2695,Credit Card,Mobile,,,,10:34
T00174,U413,,Transfer,Laptop,Chennai,19271,3290,25:61
T00175,U585,925572,Transfer,,Chennai,7083,-918489,12:45
T00176,U654,₹425,Credit Card,Desktop,Delhi,,,09:32
T00177,U760,,UPI,Laptop,Mumbai,14173,,01:58
T00178,U233,1197,UPI,,Bangalore,,,25:61
T00179,U316,₹1459,Credit Card,Laptop,Chennai,,,11:03
T00180,U265,,Credit Card,Laptop,Delhi,2226,,25:61
T00181,U875,2442,Debit Card,Desktop,Delhi,,,25:61
T00182,U223,499877,Transfer,Laptop,Delhi,10286,-489591,25:61
T00183,U399,abc,Card,Laptop,Mumbai,17199,13508,25:61
T00184,U393,₹2435,UPI,Laptop,Mumbai,,,15:07
T00185,U744,3880,Card,Desktop,Kolkata,,2625,25:61
T00186,U330,abc,UPI,Laptop,Mumbai,,,25:61
T00187,U778,313088,UPI,,Mumbai,,18062,25:61
T00188,U874,4925,Transfer,,Delhi,,,25:61
T00189,U405,188301,Credit Card,Desktop,Mumbai,,,12:19
T00190,U496,3585,Card,,Mumbai,,,25:61
T00191,U746,₹1776,Credit Card,Tablet,Mumbai,,,25:61
T00192,U448,,Credit Card,Laptop,Chennai,,13472,25:61
T00193,U796,abc,UPI,,,9540,,04:24
T00194,U713,,Transfer,Desktop,,,,25:61
T00195,U961,287230,Card,Laptop,Bangalore,,8003,25:61
T00196,U179,324,Debit Card,,Kolkata,17321,16997,04:19
T00197,U331,1744,Debit Card,,Bangalore,13651,11907,23:11
T00198,U437,177806,UPI,,Kolkata,,,09:18
T00199,U319,₹2778,UPI,Tablet,Bangalore,,,25:61
T00200,U586,₹448,UPI,Laptop,Chennai,15292,15253,25:61
T00201,U188,172573,Transfer,Laptop,Kolkata,,,25:61
T00202,U691,abc,Transfer,Tablet,,,,05:09
T00203,U934,,Debit Card,Tablet,Delhi,18607,,15:46
T00204,U622,318160,UPI,Desktop,Mumbai,18282,-299878,15:56
T00205,U489,,Credit Card,Mobile,Delhi,,,14:26
T00206,U362,abc,Credit Card,Tablet,Chennai,,18619,16:44
T00207,U625,₹1704,UPI,Mobile,Kolkata,,,25:61
T00208,U865,abc,UPI,Laptop,Chennai,,2969,25:61
T00209,U554,2851,Card,Tablet,Mumbai,1956,-895,25:61
T00210,U955,602712,Card,Desktop,Kolkata,,,25:61
T00211,U280,2882,Debit Card,,Kolkata,15351,12469,25:61
T00212,U122,abc,Credit Card,Mobile,Bangalore,,4013,25:61
T00213,U846,₹1838,Transfer,Desktop,Chennai,,,17:12
T00214,U123,₹3538,Credit Card,Desktop,Delhi,18618,,13:54
T00215,U476,,Debit Card,Laptop,Chennai,2250,6434,23:19
T00216,U412,abc,UPI,Tablet,,,,25:61
T00217,U402,abc,UPI,Desktop,,,-2312,25:61
T00218,U907,584,Transfer,Laptop,Bangalore,,,25:61
T00219,U869,4082,UPI,,Kolkata,18481,14399,08:43
T00220,U490,2437,Credit Card,Desktop,Bangalore,8968,6531,09:30
T00221,U857,₹545,Credit Card,Tablet,Bangalore,15143,,05:36
T00222,U668,₹2426,Transfer,Laptop,,,,25:61
T00223,U229,,Transfer,Desktop,Mumbai,,9740,06:13
T00224,U351,abc,Debit Card,Mobile,Mumbai,6732,,25:61
T00225,U833,2209,Debit Card,Tablet,,19330,17121,25:61
T00226,U165,abc,Card,Tablet,Mumbai,,,25:61
T00227,U711,589,UPI,Tablet,Delhi,12023,11434,04:37
T00228,U568,,Transfer,Desktop,Bangalore,4123,8877,25:61
T00229,U439,753721,UPI,Desktop,Kolkata,,1836,25:61
T00230,U670,,Debit Card,Tablet,Chennai,,14565,25:61
T00231,U751,,Transfer,,Chennai,5900,,04:51
T00232,U723,,Credit Card,Laptop,Mumbai,,,14:42
T00233,U204,,Debit Card,Desktop,Delhi,13206,-4893,23:01
T00234,U225,4634,Credit Card,,,,,25:61
T00235,U813,abc,Transfer,,,,,04:21
T00236,U669,545255,Card,Desktop,Mumbai,,,25:61
T00237,U600,385469,UPI,Laptop,Chennai,1777,-383692,01:13
T00238,U421,₹2465,Transfer,,Chennai,2140,13757,07:12
T00239,U226,abc,Card,Laptop,Delhi,12741,,09:41
T00240,U211,4985,Debit Card,Mobile,Bangalore,,11837,19:16
T00241,U993,81429,Credit Card,,Mumbai,,19788,19:52
T00242,U469,570,Card,Tablet,Mumbai,,,25:61
T00243,U246,332194,Card,,Bangalore,18693,-313501,25:61
T00244,U564,,UPI,Laptop,Bangalore,,10946,01:46
T00245,U701,₹2619,Transfer,Mobile,,16439,968,18:00
T00246,U878,,Card,Desktop,Kolkata,,,04:35
T00247,U562,,Card,Tablet,,,,01:09
T00248,U990,abc,Credit Card,Desktop,Bangalore,,,25:61
T00249,U364,127230,UPI,Mobile,,2591,-124639,13:17
T00250,U642,abc,Credit Card,Tablet,,,-2267,25:61
T00251,U497,,Card,Tablet,,,,25:61
T00252,U823,₹2653,Debit Card,Tablet,Mumbai,,,22:24
T00253,U735,₹2200,Debit Card,Laptop,,,,19:51
T00254,U647,3437,Debit Card,,Mumbai,12155,8718,22:12
T00255,U745,,Debit Card,Desktop,Mumbai,8833,,07:46
T00256,U159,239,Debit Card,Laptop,Delhi,,18512,25:61
T00257,U698,4803,Transfer,Tablet,Kolkata,,,14:14
T00258,U113,abc,Transfer,Laptop,Delhi,,,06:31
T00259,U415,,Card,Desktop,Mumbai,6667,12793,25:61
T00260,U263,,UPI,Desktop,Kolkata,,,15:34
T00261,U940,₹1198,Credit Card,Desktop,Delhi,,,17:55
T00262,U762,573669,Credit Card,Laptop,,12340,-561329,19:26
T00263,U982,₹1343,Credit Card,Desktop,Mumbai,9087,,25:61
T00264,U535,abc,UPI,Tablet,Mumbai,7592,,25:61
T00265,U426,1437,Credit Card,,Delhi,,,15:01
T00266,U394,,Credit Card,Tablet,,,,25:61
T00267,U730,abc,Debit Card,Tablet,Kolkata,,,23:27
T00268,U320,abc,Transfer,Mobile,Chennai,,,25:61
T00269,U555,abc,Credit Card,Tablet,Delhi,12557,,25:61
T00270,U202,2300,Transfer,Tablet,Bangalore,,,16:05
T00271,U903,,UPI,,Delhi,,,14:01
T00272,U529,1665,Credit Card,Laptop,Bangalore,,,20:53
T00273,U134,abc,Debit Card,Laptop,Mumbai,,10422,14:24
T00274,U228,670232,Debit Card,,Bangalore,,,14:14
T00275,U502,1195,Transfer,Tablet,Delhi,,,25:61
T00276,U955,337998,Credit Card,Mobile,Delhi,,1754,10:14
T00277,U865,379895,Credit Card,Desktop,Bangalore,5852,-374043,25:61
T00278,U701,,Card,,Kolkata,,,05:01
T00279,U662,509744,Credit Card,Laptop,Delhi,9320,-500424,08:52
T00280,U279,544450,Transfer,Mobile,Delhi,6035,-538415,05:26
T00281,U923,abc,Debit Card,Laptop,Bangalore,,-3792,14:06
T00282,U881,3702,UPI,,Bangalore,,,08:06
T00283,U366,352911,Debit Card,Desktop,Kolkata,,,21:14
T00284,U427,298172,Debit Card,Desktop,,8129,-290043,17:16
T00285,U707,abc,Credit Card,,Kolkata,,,25:61
T00286,U879,abc,Card,Desktop,Chennai,,,22:40
T00287,U436,abc,Credit Card,Desktop,Kolkata,8145,6695,25:61
T00288,U433,4439,Debit Card,Tablet,Kolkata,7893,3454,25:61
T00289,U696,abc,Card,Desktop,Kolkata,,,12:01
T00290,U560,4379,Card,Tablet,Chennai,,,05:07
T00291,U261,abc,Transfer,Desktop,Mumbai,,,06:30
T00292,U505,abc,Credit Card,Tablet,,11629,,10:15
T00293,U313,662510,UPI,Desktop,Mumbai,,,03:16
T00294,U504,183889,Credit Card,Desktop,,,19863,25:61
T00295,U586,,Card,Laptop,Chennai,,,25:61
T00296,U788,₹2089,Card,Tablet,Delhi,,,25:61
T00297,U472,abc,Card,Tablet,Bangalore,,,25:61
T00298,U521,₹2515,UPI,Desktop,Kolkata,8447,,20:27
T00299,U998,,Credit Card,Desktop,Mumbai,1208,,17:53
T00300,U878,abc,Transfer,Laptop,Delhi,15988,,17:08
T00301,U936,,Credit Card,Laptop,Bangalore,17783,-3901,11:42
T00302,U247,,Transfer,Tablet,Delhi,,,16:39
T00303,U887,3773,Credit Card,Mobile,Bangalore,,,06:13
T00304,U999,,Card,,Kolkata,6096,12258,21:31
T00305,U676,2791,Card,Mobile,,2927,136,05:05
T00306,U762,abc,Card,,Kolkata,,,25:61
T00307,U728,713383,Card,Desktop,,,10978,25:61
T00308,U794,232034,Credit Card,Laptop,,,,06:15
T00309,U261,,Credit Card,Laptop,Kolkata,,,25:61
T00310,U870,3576,UPI,,Kolkata,10572,6996,25:61
T00311,U776,1223,Card,Mobile,,14513,13290,25:61
T00312,U651,,UPI,,Chennai,,15393,19:18
T00313,U538,,Debit Card,,,,,25:61
T00314,U542,,UPI,,Bangalore,,10456,04:13
T00315,U178,,Debit Card,,Kolkata,18225,,25:61
T00316,U967,615652,Debit Card,,Chennai,,,03:23
T00317,U455,₹4470,Transfer,Tablet,Chennai,18829,,00:19
T00318,U867,,Debit Card,Tablet,Delhi,,,25:61
T00319,U790,₹1847,UPI,Desktop,Kolkata,,8185,25:61
T00320,U332,,Credit Card,Laptop,Kolkata,,5805,09:53
T00321,U323,1913,Transfer,Mobile,,,14446,14:32
T00322,U114,3563,Credit Card,Tablet,Kolkata,,,25:61
T00323,U974,abc,Card,Tablet,Mumbai,5338,,05:27
T00324,U835,abc,Debit Card,Mobile,Delhi,,19630,25:61
T00325,U920,2991,Transfer,Desktop,,,16798,25:61
T00326,U701,2413,UPI,Tablet,Chennai,,,15:28
T00327,U521,abc,Transfer,Tablet,,,,25:61
T00328,U721,abc,Debit Card,Laptop,Delhi,,,25:61
T00329,U939,1507,Debit Card,Tablet,Delhi,7736,6229,14:39
T00330,U768,978900,Transfer,Laptop,Chennai,,14702,25:61
T00331,U130,₹4112,UPI,Laptop,Chennai,,,25:61
T00332,U496,782,Debit Card,Tablet,Chennai,,,14:39
T00333,U978,777271,Card,Laptop,Chennai,,-4380,15:04
T00334,U626,₹682,Debit Card,Desktop,Bangalore,,,25:61
T00335,U306,₹223,Debit Card,Desktop,Kolkata,16190,,03:28
T00336,U708,691192,Debit Card,,Bangalore,,231,25:61
T00337,U737,703957,Card,Mobile,Chennai,10199,-693758,22:52
T00338,U368,abc,UPI,Desktop,Mumbai,,,25:61
T00339,U860,70361,Credit Card,Mobile,,,6158,25:61
T00340,U598,abc,UPI,Desktop,Chennai,,-4177,25:61
T00341,U509,₹2373,Credit Card,,Bangalore,,,25:61
T00342,U356,abc,Transfer,Laptop,Bangalore,5432,1183,22:55
T00343,U998,4722,Credit Card,Tablet,Mumbai,8520,3798,10:01
T00344,U480,,Debit Card,,Kolkata,,-2215,25:61
T00345,U623,52,Transfer,Desktop,,,,14:50
T00346,U233,,Card,Tablet,Delhi,16294,,25:61
T00347,U761,596,Transfer,Mobile,Bangalore,,11893,25:61
T00348,U354,abc,UPI,Mobile,,8947,,25:61
T00349,U950,2124,UPI,Laptop,Bangalore,,9202,12:00
T00350,U433,,Transfer,Mobile,Bangalore,,,18:28
T00351,U188,703381,Debit Card,Desktop,,,,13:09
T00352,U470,abc,UPI,Mobile,,,,03:37
T00353,U885,abc,Transfer,Mobile,Chennai,,6368,22:39
T00354,U806,464044,Card,Laptop,Bangalore,,,25:61
T00355,U820,2831,Debit Card,Tablet,Mumbai,9632,6801,22:09
T00356,U972,abc,Debit Card,Laptop,Mumbai,,,25:61
T00357,U654,abc,Credit Card,Tablet,Kolkata,,886,16:44
T00358,U738,998391,Card,Mobile,,8125,-990266,09:43
T00359,U417,abc,UPI,Laptop,Mumbai,9283,,25:61
T00360,U202,377822,Credit Card,Mobile,Bangalore,10458,-367364,25:61
T00361,U928,43878,UPI,Desktop,,,,13:48
T00362,U483,abc,Credit Card,Desktop,Delhi,,15789,25:61
T00363,U716,641169,Transfer,Desktop,Kolkata,,1136,00:48
T00364,U796,₹493,UPI,,Bangalore,,17735,22:33
T00365,U663,4296,Credit Card,Mobile,Delhi,,,14:46
T00366,U320,₹1498,UPI,,Mumbai,,6649,16:59
T00367,U110,3676,Credit Card,,Mumbai,15798,12122,06:11
T00368,U715,2996,Credit Card,Laptop,Kolkata,,,25:61
T00369,U633,318786,UPI,,Delhi,19972,-298814,25:61
T00370,U789,2670,Transfer,Tablet,Delhi,8996,6326,20:37
T00371,U846,,Card,Desktop,Bangalore,,-1183,16:19
T00372,U456,,Credit Card,Mobile,Mumbai,,,17:38
T00373,U675,,Credit Card,Tablet,Kolkata,,,25:61
T00374,U227,372967,Credit Card,Mobile,Delhi,,18675,04:01
T00375,U213,416373,Card,Mobile,,,,12:22
T00376,U173,abc,Transfer,,Delhi,,-1045,05:03
T00377,U746,800075,UPI,,,,,25:61
T00378,U639,457453,Credit Card,Tablet,Bangalore,,8251,04:10
T00379,U925,abc,Transfer,Mobile,Mumbai,,,15:06
T00380,U824,3571,Debit Card,,Delhi,5907,2336,05:40
T00381,U201,,Debit Card,Desktop,Chennai,,,21:50
T00382,U384,,Credit Card,Mobile,Chennai,5312,,25:61
T00383,U982,₹3408,Transfer,Mobile,,,,04:57
T00384,U958,abc,Credit Card,Mobile,Chennai,12786,,25:61
T00385,U340,2213,Debit Card,Desktop,Bangalore,,156,25:61
T00386,U732,1015,Transfer,Tablet,Mumbai,,18279,25:61
T00387,U157,,Transfer,Laptop,Mumbai,14339,5350,03:27
T00388,U116,69922,Debit Card,,Chennai,,,25:61
T00389,U975,₹2607,UPI,,Delhi,,,25:61
T00390,U150,abc,Card,,Kolkata,,,07:47
T00391,U403,abc,Transfer,Mobile,Chennai,16568,11527,12:58
T00392,U735,4966,Transfer,Mobile,,,9369,17:26
T00393,U149,abc,Credit Card,Laptop,Chennai,,18146,25:61
T00394,U784,2972,Transfer,Desktop,Chennai,,-749,16:59
T00395,U897,981892,Transfer,Tablet,Bangalore,6221,-975671,12:53
T00396,U579,3265,Credit Card,Laptop,Chennai,,,15:59
T00397,U457,abc,UPI,,Kolkata,5704,,10:27
T00398,U382,abc,UPI,,Delhi,,,25:61
T00399,U402,3312,Transfer,Tablet,Mumbai,,5140,25:61
T00400,U498,622623,UPI,Tablet,Delhi,8560,-614063,06:02
T00401,U780,3285,Credit Card,Tablet,Bangalore,9685,6400,05:04
T00402,U672,₹4685,Credit Card,Desktop,Mumbai,12484,18271,10:37
T00403,U719,,Transfer,Tablet,,11788,3845,25:61
T00404,U466,114560,Card,Desktop,Bangalore,15561,-98999,11:12
T00405,U356,3017,Debit Card,Tablet,Delhi,,,08:12
T00406,U502,192642,Credit Card,Laptop,Kolkata,,,07:24
T00407,U950,940,Credit Card,Mobile,Bangalore,,,10:08
T00408,U606,927911,Credit Card,Desktop,,,5852,25:61
T00409,U954,₹2421,UPI,Desktop,Mumbai,18590,13213,00:36
T00410,U132,233546,Credit Card,Mobile,Chennai,,10928,25:61
T00411,U109,abc,Credit Card,Tablet,,7764,,10:00
T00412,U988,1588,Transfer,Tablet,Kolkata,3112,1524,25:61
T00413,U100,149,Transfer,Mobile,Kolkata,,,25:61
T00414,U864,abc,Card,Desktop,Kolkata,,8814,25:61
T00415,U761,3507,Credit Card,Desktop,,,1500,25:61
T00416,U973,₹763,Debit Card,Desktop,Delhi,,,11:27
T00417,U953,abc,Card,,Chennai,1703,13240,25:61
T00418,U552,2764,Card,Tablet,Bangalore,,,25:61
T00419,U522,,UPI,Mobile,Chennai,,,25:61
T00420,U134,abc,Transfer,Mobile,Kolkata,,,11:39
T00421,U173,4217,Credit Card,Laptop,Delhi,,5245,14:29
T00422,U528,2781,Transfer,,,,,13:39
T00423,U881,,Transfer,Laptop,Delhi,,,00:31
T00424,U632,,Transfer,Mobile,Bangalore,,,00:57
T00425,U641,718593,Card,Tablet,Chennai,,,25:61
T00426,U693,₹4765,Credit Card,Desktop,Mumbai,,,22:09
T00427,U829,725,UPI,,Delhi,,9429,04:18
T00428,U588,,UPI,Desktop,Bangalore,12281,,25:61
T00429,U155,525301,UPI,,,,,07:21
T00430,U784,abc,UPI,,Chennai,,,25:61
T00431,U984,₹1692,Debit Card,,Kolkata,,,25:61
T00432,U780,₹4744,Card,Tablet,,3304,,25:61
T00433,U797,₹488,Debit Card,,Delhi,,,25:61
T00434,U191,986748,Card,Tablet,Chennai,13460,-973288,17:21
T00435,U408,,Card,Mobile,,,4132,25:61
T00436,U698,,Transfer,Tablet,,,,13:20
T00437,U898,₹2300,Transfer,Laptop,Delhi,11756,,25:61
T00438,U833,₹607,UPI,,Bangalore,,,08:59
T00439,U343,323967,Credit Card,Mobile,Chennai,,,25:61
T00440,U572,,Card,Laptop,Bangalore,,-1411,12:42
T00441,U187,₹998,Debit Card,Mobile,Delhi,,,15:30
T00442,U750,abc,Transfer,Mobile,Kolkata,,,08:06
T00443,U230,1983,Credit Card,Desktop,Mumbai,,,21:45
T00444,U642,986443,UPI,Desktop,,,,25:61
